sample,mean_depth,age_CE,phytol,brassicasterol,ergosterol,stigmasterol,sitosterol,dinosterol,campesterol,sitostanol,dinostanol,comment
Rot09_0-1cm,0.5,2007.7,0.568632061,0.102340659,0.011492704,0.07402029,0.164262583,0.015733358,0.017458675,0.038477157,0.007582513,data are based on lipid concentrations from Naeher et al. (2012): https://doi.org/10.1016/j.orggeochem.2012.05.014
Rot09_1-2cm,1.5,2005,0.378710676,0.105413214,0.02687582,0.085277223,0.235530616,0.050718578,0.037016948,0.06467643,0.015780495,
Rot09_2-3cm,2.5,2002.3,0.329999526,0.112939255,0.017774321,0.089935065,0.26590801,0.054048323,0.040628941,0.072341388,0.016425171,
Rot09_3-4cm,3.5,1999.7,0.357169757,0.092666939,0.01820804,0.088657946,0.25947114,0.045236136,0.041508983,0.082948499,0.014132559,
Rot09_4-5cm,4.5,1997,0.395299997,0.073405068,0.019530892,0.085836026,0.258421373,0.048136713,0.033129098,0.076616432,0.0096244,
Rot09_5-6cm,5.5,1994.3,0.339262055,0.053367802,0.029896719,0.08616139,0.274912847,0.05598681,0.035731315,0.11058975,0.014091312,
Rot09_6-7cm,6.5,1991.7,0.372306769,0.0495561,0.007246879,0.081293521,0.266858107,0.063940831,0.032512451,0.111410757,0.014874585,
Rot09_7-8cm,7.5,1989,0.438698881,0.043675852,0.020955808,0.07185665,0.245232276,0.054532079,0.021397532,0.094690449,0.008960473,
Rot09_8-9cm,8.5,1986.3,0.390006333,0.046500821,0.012513305,0.083472288,0.22423451,0.076289438,0.03846552,0.109657165,0.018860619,
Rot09_9-10cm,9.5,1983.7,0.405845286,0.045963179,0.004914132,0.080762339,0.255184902,0.082116759,0.023781573,0.077354421,0.024077409,
Rot09_10-11cm,10.5,1981,0.497817789,0.033059202,0.022068979,0.053794148,0.24866673,0.048295608,0.004340925,0.084939,0.007017618,
Rot09_11-12cm,11.5,1978.3,0.430479501,0.035442153,0.008730713,0.063385615,0.292947832,0.060619819,0.020117395,0.074105577,0.014171396,
Rot09_12-13cm,12.5,1975.7,0.409160212,0.033170743,0.005612943,0.049016572,0.291674486,0.076873669,0.036442088,0.075732475,0.022316811,
Rot09_13-14cm,13.5,1973,0.294435658,0.030041067,0.035309563,0.072012927,0.337394294,0.086696666,0.032037798,0.09255102,0.019521008,
Rot09_14-15cm,14.5,1970.3,0.41005473,0.027429643,0.032913664,0.060143081,0.314131531,0.076944199,0.029471794,0.040134293,0.008777065,
Rot09_15-16cm,15.5,1967.7,0.428059706,0.021092482,0.030989332,0.06104543,0.28944208,0.072244631,0.017949562,0.066643294,0.012533483,
Rot09_16-17cm,16.5,1965,0.43643367,0.020398993,0.030662744,0.061954618,0.279244161,0.069655913,0.027679898,0.062530162,0.011439841,
Rot09_17-18cm,17.5,1962.3,0.360486579,0.022518144,0.039664831,0.070568803,0.294473072,0.102435237,0.013415636,0.06889485,0.027542849,
Rot09_18-19cm,18.5,1959.7,0.39301473,0.028084984,0.042094988,0.067566683,0.306609006,0.060101894,0.030929875,0.062082428,0.009515412,
Rot09_19-20cm,19.5,1957,0.408076918,0.025421991,0.032591388,0.054599278,0.296280682,0.037995128,0.020531849,0.105648684,0.018854081,
Rot09_20-21cm,20.5,1954.3,0.411021934,0.040315801,0.010895427,0.067469465,0.275015728,0.04133648,0.040460034,0.093672828,0.019812304,
Rot09_21-22cm,21.5,1951.7,0.448884813,0.035560391,0.0340112,0.054148434,0.267726175,0.052151049,0.02524842,0.078477041,0.003792478,
Rot09_22-23cm,22.5,1949,0.462516318,0.040759029,0.031721327,0.047385378,0.256873976,0.055283592,0.028953924,0.07205304,0.004453416,
Rot09_23-24cm,23.5,1946.3,0.382469384,0.028053955,0.041621597,0.06529274,0.252697263,0.07869755,0.048292116,0.079478468,0.023396926,
Rot09_24-25cm,24.5,1943.7,0.471693314,0.023904988,0.038573736,0.054697931,0.257412585,0.05490576,0.030064405,0.058242273,0.010505007,
Rot09_25-26cm,25.5,1941,0.491652448,0.030434644,0.038146552,0.050972708,0.23899772,0.049131113,0.032505885,0.05879786,0.009361071,
Rot09_26-27cm,26.5,1938.3,0.490704103,0.027943969,0.047492499,0.053455374,0.177600331,0.075888705,0.027600776,0.087426593,0.01188765,
Rot09_27-28cm,27.5,1935.7,0.554036509,0.032126259,0.077168666,0.042314127,0.165239452,0.063581834,0.020749365,0.039295467,0.00548832,
Rot09_28-29cm,28.5,1933,0.436208192,0.012571873,0.062914538,0.061492205,0.226932327,0.088622347,0.013671052,0.078313858,0.019273606,
Rot09_29-30cm,29.5,1930.3,0.56763642,0,0.095841665,0.015130594,0.181326465,0.026532249,0,0.087000358,0.026532249,
Rot09_30-31cm,30.5,1927.7,0.585850394,0,0.074409448,0,0.160834854,0.054323379,0,0.100160002,0.024421923,
Rot09_31-32cm,31.5,1925,0.604083226,0.009149702,0.064195645,0.048743903,0.152289595,0.072872264,0.009964205,0.02973572,0.008965741,
Rot09_32-33cm,32.5,1922.3,0.627216281,0,0.063760287,0.042661882,0.182409179,0.006030188,0,0.071891995,0.006030188,
Rot09_33-34cm,33.5,1919.7,0.574773986,0,0.073687496,0.028930773,0.116937971,0.035328107,0.018075589,0.116937971,0.035328107,
Rot09_37-38cm,37.5,1909,0.630618444,0.012494954,0.037024535,0.039563712,0.186531769,0.033074018,0.011641066,0.015977484,0.033074018,
Rot09_39-40cm,39.5,1903.7,0.664657539,0.028165135,0.011527467,0.04571808,0.145279368,0.042198477,0.006754532,0.041517817,0.014181586,
Rot09_45-46cm,45.5,1887.7,0.540113246,0.005382899,0,0.029370365,0.24434715,0.037033873,0,0.106718595,0.037033873,
Rot09_49-50cm,49.5,1877,0.359968351,0.035696194,0.007185734,0.06812529,0.306877282,0.038501739,0.014065117,0.140129336,0.029450959,
Rot09_52-53cm,52.5,1869,0.517137538,0.005208125,0.011172831,0.040080181,0.241717156,0.034037711,0,0.116608746,0.034037711,
Rot09_55-56cm,55.5,1859.7,0.547649315,0.005736769,0,0.056780662,0.217561893,0.034443527,0,0.103384307,0.034443527,
